Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
11272872 13.0664 8.61223 11.9739 6.39613 True
11272875 8.78027 4.74179 9.30148 3.77233 False
11272876 6.57279 4.61352 9.96157 4.50963 True
11272879 13.7315 8.21213 11.1936 5.3524 True
11273089 11.7005 8.91546 10.4936 5.81913 True
11273094 14.4172 9.59419 12.7642 6.89977 True
11273101 15.4703 10.2159 14.3584 7.70584 True
11273111 14.7943 10.2742 13.6294 7.30573 True
11273115 11.265 6.99456 9.99991 5.33694 False
11337904 13.1257 8.08374 11.3439 5.86574 True
11337911 8.45471 4.60862 7.59063 4.4008 False
11337912 12.5474 8.408 11.1137 5.92001 True
11337913 13.8485 8.98222 10.6644 5.08829 True
11337914 6.76837 4.26456 5.18114 2.79751 False
11337916 7.64869 5.42461 7.06674 3.99685 False
11337917 11.0798 6.88307 8.13635 4.40175 True
11337918 8.66683 4.34014 6.87284 3.02859 False
11337919 11.7094 7.75151 13.1763 7.20872 True
11337920 7.25009 4.56213 7.20864 3.71207 True
11337922 13.7426 8.85416 11.7027 6.28718 True
11337924 9.1326 5.92527 9.17851 4.84621 True
11337925 9.00398 5.3135 6.09046 3.02752 True
11337926 12.001 7.91881 13.065 6.84379 True
11337927 12.3315 7.28256 9.99745 4.68503 True
11337930 15.2362 9.94668 12.3638 6.70993 True
11337931 11.3454 7.47211 11.6221 6.1633 True
11337932 11.527 7.43421 10.9213 5.93255 True
11337933 12.5421 4.48663 7.55502 3.45633 False
11337935 17.0378 12.5264 13.9306 7.96112 True
11338144 12.4341 8.01219 11.9019 6.32114 True
11338147 12.0351 7.93186 12.9309 6.81692 True
11338149 14.5588 9.40049 12.4337 6.3153 True
11338150 11.2568 7.25353 10.6389 5.59022 True
11338151 13.7399 8.58097 12.925 6.54967 True
11338153 13.381 8.888 12.9407 6.97274 True
11338154 14.1366 8.76084 11.077 5.87842 True
11338157 10.8446 5.44039 8.94703 3.95194 False
11338159 12.7624 8.18396 8.83492 4.5585 True
11338163 13.6223 9.15152 10.7658 5.71645 True
11338166 12.6072 8.17187 12.4498 6.57422 True
11338167 13.5161 8.83556 13.3984 7.39669 True
11338173 13.6474 9.02089 11.6685 6.27723 True
11338174 11.7765 8.45405 11.1991 6.4136 True
11338384 17.195 10.2583 11.8062 5.85594 False
11338385 12.6567 6.37882 4.91147 1.58635 False
11338386 14.5561 9.07046 14.1471 7.4203 True
11338389 13.5598 9.0233 11.2891 6.57867 True
11338390 13.8979 9.69992 12.2468 6.56496 True
11338394 13.343 8.42085 12.5109 6.45064 True
11338395 13.035 8.65163 13.2546 7.18855 True
11338397 12.6796 7.55745 12.2745 6.23895 True
11338398 13.9494 9.25085 12.4409 6.72802 True
11338400 13.7395 8.84794 13.5092 6.6575 True
11338404 12.3917 7.45828 11.1998 5.99715 False
11338405 9.85295 6.28613 5.38613 2.93656 False
11338406 13.0072 8.46836 12.2981 6.59322 True
11338408 14.6049 9.68203 13.1277 7.07145 True
11338410 13.5407 8.97321 12.0804 6.59122 True
11338412 17.5693 12.2565 16.2545 8.87309 True
11338414 13.0989 8.30086 12.0871 6.37653 True
11338626 10.1972 6.6723 8.68789 4.53676 True
11338636 14.372 9.01626 11.2336 6.22195 True
11338640 13.6218 9.07112 12.2367 6.58767 True
11338641 15.3611 10.1225 15.5884 8.37248 True
11338643 12.2521 6.11871 9.44182 5.11216 False
11338644 8.19968 4.61009 7.28388 3.24563 True
11338648 13.5526 8.98451 13.1462 7.12586 True
11338651 12.9771 8.56622 13.9842 7.58741 True
11338653 17.4879 12.5735 18.0267 9.82678 True
11403442 11.2192 7.16052 9.41397 4.55284 True
11403443 8.47466 5.45385 9.70089 5.14194 True
11403444 12.029 7.80517 11.0464 5.49283 True
11403446 12.5515 9.26749 11.825 6.87537 True
11403448 14.2531 9.31162 10.9706 5.83472 True
11403451 12.3257 8.06011 13.4013 7.04959 True
11403453 14.9084 9.48472 12.9798 6.82445 True
11403454 15.4929 10.3763 12.8938 6.68747 True
11403458 12.8571 8.58342 10.076 5.41659 True
11403459 9.95642 6.50821 8.2904 4.45135 True
11403461 13.9401 8.52693 12.7813 6.44627 True
11403464 12.2684 8.06396 13.3859 7.25463 True
11403465 14.7161 9.46759 13.7436 7.03742 True
11403468 12.9671 9.11025 11.0329 5.9855 True
11403470 13.6407 9.12834 10.2804 5.46672 True
11403681 10.4933 4.72102 8.78542 3.27013 False
11403686 8.66955 5.70071 7.50114 3.78537 False
11403688 12.4878 8.55617 9.97979 5.4532 False
11403689 13.4661 8.83412 11.4195 6.06736 True
11403690 6.41224 4.08859 4.39451 2.57273 False
11403691 12.0715 7.64563 11.2405 5.85764 True
11403696 14.0253 9.03169 13.1258 6.67399 True
11403697 15.7057 9.94182 12.7551 6.37618 True
11403698 13.92 9.05592 13.2215 7.2157 True
11403699 12.5582 8.00242 11.9635 6.43551 True
11403704 13.9058 8.66185 11.0572 5.89929 True
11403705 13.8152 9.14185 13.9273 7.41794 True
11403706 14.1648 9.2649 12.4541 6.77777 True
11403707 13.4667 9.30947 11.5446 6.31195 True
